Invoice Number,Date,Customer Name,Item,Quantity,Unit Price,Total Price
1001,2024-09-01,John Doe,Office Chair,2,150.00,300.00
1002,2024-09-02,Jane Smith,Desk Lamp,1,45.50,45.50
1003,2024-09-03,Michael Johnson,Standing Desk,1,320.00,320.00
1004,2024-09-04,Emily Davis,Monitor,2,210.00,420.00
1005,2024-09-05,Chris Lee,Keyboard,3,25.00,75.00
1006,2024-09-06,Sarah Brown,Mouse,5,12.00,60.00
1007,2024-09-07,David Wilson,Printer,1,150.00,150.00
1008,2024-09-08,Alice Green,Webcam,2,85.00,170.00
1009,2024-09-09,Bob Harris,Headphones,4,60.00,240.00
1010,2024-09-10,Kate White,USB-C Cable,6,10.00,60.00
